Id,Source,Target,Type
276,Çiðdem Tunç,Kemal Sunal,Undirected
277,Erdal Özyaðcýlar,Kemal Sunal,Undirected
278,Reha Yurdakul,Kemal Sunal,Undirected
279,Aliye Rona,Kemal Sunal,Undirected
280,Erdal Özyaðcýlar,Çiðdem Tunç,Undirected
281,Adile Naþit,Çiðdem Tunç,Undirected
282,Reha Yurdakul,Çiðdem Tunç,Undirected
283,Aliye Rona,Çiðdem Tunç,Undirected
284,Reha Yurdakul,Erdal Özyaðcýlar,Undirected
285,Aliye Rona,Erdal Özyaðcýlar,Undirected
286,Reha Yurdakul,Adile Naþit,Undirected
287,Aliye Rona,Adile Naþit,Undirected
288,Aliye Rona,Reha Yurdakul,Undirected
289,Yalçýn Güzelce,Kemal Sunal,Undirected
290,Kaya Gürel,Kemal Sunal,Undirected
291,Levent Beceren,Kemal Sunal,Undirected
292,Nuri Sezer,Kemal Sunal,Undirected
293,Kaya Gürel,Yalçýn Güzelce,Undirected
294,Levent Beceren,Yalçýn Güzelce,Undirected
295,Nuri Sezer,Yalçýn Güzelce,Undirected
296,Levent Beceren,Kaya Gürel,Undirected
297,Nuri Sezer,Kaya Gürel,Undirected
298,Nuri Sezer,Levent Beceren,Undirected
299,Meral Zeren,Þener Þen,Undirected
300,Ahu Tuðba,Þener Þen,Undirected
301,Meral Zeren,Ýlyas Salman,Undirected
302,Ahu Tuðba,Ýlyas Salman,Undirected
303,Ahu Tuðba,Meral Zeren,Undirected
304,Kemal Sunal,Fatma Girik,Undirected
305,Dinçer Çekmez,Fatma Girik,Undirected
306,Sümer Tilmaç,Fatma Girik,Undirected
307,Bahar Öztan,Fatma Girik,Undirected
308,Pembe Mutlu,Fatma Girik,Undirected
309,Merih Fýrat,Fatma Girik,Undirected
310,Yaþar Güner,Fatma Girik,Undirected
311,Gazanfer Özcan,Fatma Girik,Undirected
312,Dinçer Çekmez,Kemal Sunal,Undirected
313,Sümer Tilmaç,Kemal Sunal,Undirected
314,Bahar Öztan,Kemal Sunal,Undirected
315,Pembe Mutlu,Kemal Sunal,Undirected
316,Merih Fýrat,Kemal Sunal,Undirected
317,Yaþar Güner,Kemal Sunal,Undirected
318,Gazanfer Özcan,Kemal Sunal,Undirected
319,Sümer Tilmaç,Dinçer Çekmez,Undirected
